ENSID	RatiosMoys_.d32._vs_.d22.	Symbol	Description	pval_DEseq2	RatiosMoys_.d32._vs_.d22.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d32._vs_.d22.	Delta_edgeR	pval_Voom	RatiosMoys_.d32._vs_.d22.	Delta_Voom	Flags_.d22.	Flags_.d32.	Flags_tot
ENSG00000000005	  4.77726997	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	 6,652308e-06	  4,77726997	   24,94635	 6,310654e-12	  4,87612648	   1,1149726	2,536967e-04	  4,60377611	   1,1152289	 0	 3	 3
ENSG00000000971	  0.50657948	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	 6,826542e-28	  0,50657948	  685,61894	 4,493361e-45	  0,51769821	  29,2018116	1,832939e-04	  0,51787611	  29,2015539	 3	 3	 6
ENSG00000001036	  0.82384698	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	 4,783271e-05	  0,82384698	  289,69843							 3	 3	 6
ENSG00000001617	  0.63768396	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	 1,423861e-19	  0,63768396	 1163,01311	 4,680369e-29	  0,65161956	  48,7156489	2,388162e-04	  0,65167572	  48,7153904	 3	 3	 6
ENSG00000002587	  1.55438060	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]				 7,161387e-03	  1,55438060	   0,5986404	1,338129e-02	  1,54363792	   0,5988968	 2	 3	 5
ENSG00000002726	  0.79805029	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	 4,444506e-03	  0,79805029	  151,57722	 7,922726e-05	  0,81628487	   6,0060826				 3	 3	 6
ENSG00000003096	  1.62038643	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	 2,001289e-22	  1,62038643	  715,44635	 2,355859e-32	  1,65543084	  32,9310278	6,718493e-06	  1,65515155	  32,9312827	 3	 3	 6
ENSG00000003249	  0.71718483	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	 1,777662e-08	  0,71718483	  356,73446	 1,042164e-11	  0,73309326	  14,6663426	2,134849e-03	  0,73320382	  14,6660856	 3	 3	 6
ENSG00000003400	  2.08557043	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	 5,804864e-04	  2,08557043	   30,23197	 1,835727e-07	  2,12953684	   1,3702758	1,887619e-03	  2,10979598	   1,3705321	 3	 3	 6
ENSG00000003436	  1.21757096	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	 4,483283e-03	  1,21757096	  113,96823	 5,097661e-05	  1,24475385	   5,5859628	1,641101e-02	  1,24453140	   5,5862189	 3	 3	 6
