ENSID	RatiosMoys_.d42._vs_.d32.	Symbol	Description	pval_DEseq2	RatiosMoys_.d42._vs_.d32.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d42._vs_.d32.	Delta_edgeR	pval_Voom	RatiosMoys_.d42._vs_.d32.	Delta_Voom	Flags_.d32.	Flags_.d42.	Flags_tot
ENSG00000000003	 0.820744402	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	 2,340961e-06	 0,820744402	  363,427853	 7,072915e-08	 0,820405816	  17,2794756	4,108880e-05	 0,820486367	  17,2756399	 3	 3	 6
ENSG00000000005	 0.664904102	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]				 2,663208e-02	 0,664904102	   0,4646346	1,674049e-02	 0,672816787	   0,4607990	 3	 0	 3
ENSG00000000460	 1.223642665	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	 3,030134e-02	 1,223642665	   47,525669	 3,571329e-03	 1,223109466	   2,2505196	2,736697e-02	 1,223007513	   2,2543550	 3	 3	 6
ENSG00000000971	 2.100434794	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	 1,043166e-43	 2,100434794	  718,388465	 5,310686e-67	 2,099712241	  34,0691223	5,944871e-06	 2,099062280	  34,0729559	 3	 3	 6
ENSG00000001036	 0.798501659	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	 3,152665e-06	 0,798501659	  253,188755	 3,989444e-08	 0,798198807	  12,0331101	2,732454e-05	 0,798336887	  12,0292744	 3	 3	 6
ENSG00000001497	 0.831874758	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	 1,625205e-03	 0,831874758	  208,081138	 5,755889e-06	 0,830977072	   9,9348428	4,690103e-02	 0,831104990	   9,9310072	 3	 3	 6
ENSG00000001561	 0.528404412	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	 5,386716e-13	 0,528404412	  165,512128	 1,578712e-21	 0,527976785	   7,8640934	7,231615e-05	 0,528823822	   7,8602576	 3	 3	 6
ENSG00000001617	 0.739997763	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	 1,122369e-10	 0,739997763	  493,559626	 1,604612e-15	 0,740075470	  23,4086945	2,459923e-04	 0,740180975	  23,4048584	 3	 3	 6
ENSG00000001626	 1.390606127	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	 1,141684e-02	 1,390606127	   36,825935	 4,067126e-04	 1,388711205	   1,7406830	9,077427e-03	 1,387679537	   1,7445184	 3	 3	 6
ENSG00000001630	 0.767036219	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	 2,375224e-10	 0,767036219	  459,570928	 9,969577e-13	 0,766779779	  21,8333978	1,835995e-06	 0,766875055	  21,8295618	 3	 3	 6
ENSG00000002586	 1.561862943	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	 1,176537e-25	 1,561862943	 1921,174633	 2,113443e-41	 1,562188062	  91,1747935	5,481570e-05	 1,562136102	  91,1786232	 3	 3	 6
ENSG00000002587	 2.714455240	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	 4,483134e-09	 2,714455240	   59,972041	 1,989292e-16	 2,715576591	   2,8462046	5,755612e-06	 2,695597552	   2,8500400	 3	 3	 6
ENSG00000002726	 0.457220401	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	 3,210716e-23	 0,457220401	  301,550982	 1,929167e-41	 0,456879289	  14,3246021	1,007855e-04	 0,457473350	  14,3207660	 3	 3	 6
ENSG00000002746	 0.731482706	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	 1,635962e-03	 0,731482706	   64,666158	 1,539424e-05	 0,731462502	   3,0673106	4,187255e-03	 0,732309434	   3,0634750	 3	 3	 6
ENSG00000002834	 1.208991722	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	 7,780448e-07	 1,208991722	 1225,032669	 2,424108e-09	 1,208899694	  58,0902363	1,115877e-03	 1,208897094	  58,0940668	 3	 3	 6
ENSG00000002933	 0.562969393	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	 1,413652e-29	 0,562969393	  718,539272	 2,954103e-46	 0,562840604	  34,1025104	2,242597e-05	 0,563011943	  34,0986737	 3	 3	 6
ENSG00000003096	 1.411146743	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	 1,002729e-14	 1,411146743	  712,496645	 8,995280e-22	 1,411381130	  33,8187217	1,205571e-04	 1,411318650	  33,8225549	 3	 3	 6
ENSG00000003147	 2.164494480	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	 6,161710e-10	 2,164494480	   93,585602	 9,273584e-18	 2,162500810	   4,4368990	1,718870e-04	 2,156894708	   4,4407343	 3	 3	 6
ENSG00000003249	 0.820061379	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	 1,625047e-03	 0,820061379	  150,958183	 1,333393e-05	 0,819465137	   7,1886078	1,995113e-02	 0,819660237	   7,1847722	 3	 3	 6
ENSG00000003402	 1.325907004	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]				 3,253931e-02	 1,325907004	   0,6635226				 3	 3	 6
ENSG00000003436	 0.529809131	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	 4,680452e-15	 0,529809131	  278,150133	 3,439343e-30	 0,529676071	  13,2037389	8,848429e-04	 0,530177693	  13,1999028	 3	 3	 6
ENSG00000004399	 0.689625479	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	 2,839097e-24	 0,689625479	 1954,001244	 2,342854e-30	 0,689379350	  92,7973480	2,231979e-05	 0,689414857	  92,7935100	 3	 3	 6
ENSG00000004660	 0.768430433	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	 4,584747e-04	 0,768430433	  104,716352	 3,062574e-06	 0,767633972	   4,9899047	7,985197e-03	 0,768048157	   4,9860691	 3	 3	 6
ENSG00000004776	 2.773281064	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 1,316409e-47	 2,773281064	  487,126281	 6,185845e-79	 2,773153219	  23,1092788	7,161850e-06	 2,770484621	  23,1131131	 3	 3	 6
ENSG00000004777	 0.764960582	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]				 8,470610e-12	 0,764960582	  16,8823125				 3	 3	 6
ENSG00000004799	 0.598023774	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	 1,443936e-09	 0,598023774	  142,384134	 3,650346e-15	 0,597702606	   6,7638368	8,627817e-05	 0,598451630	   6,7600010	 3	 3	 6
ENSG00000004838	 1.557706938	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	 2,508866e-04	 1,557706938	   63,148948	 1,613079e-07	 1,555584641	   2,9889782	7,724569e-03	 1,554051421	   2,9928135	 3	 3	 6
ENSG00000004864	 0.767143707	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	 2,116121e-06	 0,767143707	  210,778059	 4,718626e-09	 0,766867637	  10,0131263	1,763097e-04	 0,767075212	  10,0092906	 3	 3	 6
