ENSID	RatiosMoys_.d42._vs_.d32.	Symbol	Description	pval_DEseq2	RatiosMoys_.d42._vs_.d32.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d42._vs_.d32.	Delta_edgeR	pval_Voom	RatiosMoys_.d42._vs_.d32.	Delta_Voom	Flags_.d32.	Flags_.d42.	Flags_tot
ENSG00000000005	 0.664904102	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]				 2,663208e-02	 0,664904102	   0,4646346				 3	 0	 3
ENSG00000000971	 2.100434794	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	 1,043166e-43	 2,100434794	  718,388465	 5,310686e-67	 2,099712241	  34,0691223	5,944871e-06	 2,099062280	  34,0729559	 3	 3	 6
ENSG00000001561	 0.528404412	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	 5,386716e-13	 0,528404412	  165,512128	 1,578712e-21	 0,527976785	   7,8640934	7,231615e-05	 0,528823822	   7,8602576	 3	 3	 6
ENSG00000002586	 1.561862943	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	 1,176537e-25	 1,561862943	 1921,174633	 2,113443e-41	 1,562188062	  91,1747935	5,481570e-05	 1,562136102	  91,1786232	 3	 3	 6
ENSG00000002587	 2.714455240	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	 4,483134e-09	 2,714455240	   59,972041	 1,989292e-16	 2,715576591	   2,8462046	5,755612e-06	 2,695597552	   2,8500400	 3	 3	 6
ENSG00000002726	 0.457220401	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	 3,210716e-23	 0,457220401	  301,550982	 1,929167e-41	 0,456879289	  14,3246021	1,007855e-04	 0,457473350	  14,3207660	 3	 3	 6
ENSG00000002933	 0.562969393	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	 1,413652e-29	 0,562969393	  718,539272	 2,954103e-46	 0,562840604	  34,1025104	2,242597e-05	 0,563011943	  34,0986737	 3	 3	 6
ENSG00000003147	 2.164494480	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	 6,161710e-10	 2,164494480	   93,585602	 9,273584e-18	 2,162500810	   4,4368990	1,718870e-04	 2,156894708	   4,4407343	 3	 3	 6
ENSG00000003436	 0.529809131	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	 4,680452e-15	 0,529809131	  278,150133	 3,439343e-30	 0,529676071	  13,2037389	8,848429e-04	 0,530177693	  13,1999028	 3	 3	 6
ENSG00000004776	 2.773281064	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 1,316409e-47	 2,773281064	  487,126281	 6,185845e-79	 2,773153219	  23,1092788	7,161850e-06	 2,770484621	  23,1131131	 3	 3	 6
ENSG00000004799	 0.598023774	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	 1,443936e-09	 0,598023774	  142,384134	 3,650346e-15	 0,597702606	   6,7638368	8,627817e-05	 0,598451630	   6,7600010	 3	 3	 6
ENSG00000004838	 1.557706938	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	 2,508866e-04	 1,557706938	   63,148948	 1,613079e-07	 1,555584641	   2,9889782	7,724569e-03	 1,554051421	   2,9928135	 3	 3	 6
ENSG00000005059	 0.439589610	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	 6,609132e-23	 0,439589610	  258,669379	 2,283680e-39	 0,439440322	  12,2765354	2,729761e-05	 0,440172975	  12,2726994	 3	 3	 6
ENSG00000005102	 3.192904244	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	 1,375150e-11	 3,192904244	   74,741660	 1,382737e-22	 3,195559389	   3,5487437	2,494368e-04	 3,168668934	   3,5525791	 3	 3	 6
ENSG00000005108	 0.346536975	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	3,072060e-210	 0,346536975	 6747,452448	5,291291e-233	 0,346464643	 320,1973503	1,659105e-08	 0,346501560	 320,1935021	 3	 3	 6
ENSG00000005249	 2.278298166	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	 2,352572e-52	 2,278298166	  709,313927	 1,454165e-76	 2,278223246	  33,6504952	6,964842e-07	 2,277310710	  33,6543288	 3	 3	 6
ENSG00000005884	 0.619837040	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	 4,313183e-30	 0,619837040	 3228,040186	 3,324924e-51	 0,619468710	 153,3413589	7,856023e-05	 0,619498818	 153,3375186	 3	 3	 6
