ENSID	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_edgeR	pval_Voom	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_Voom	Flags_.MT2_PMO.	Flags_.MT2_SC.	Flags_tot
ENSG00000006128	0.3429945	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	4,364191e-04	0,3429945	  24,75124	 4,394173e-08	0,3426252	  1,1858300	1,221518e-02	0,3514982	  1,1851096	 3	 0	 3
ENSG00000049249	0.2782705	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	6,954870e-09	0,2782705	  57,13235	 1,538656e-18	0,2775774	  2,7396265	1,544809e-03	0,2822286	  2,7389060	 3	 3	 6
ENSG00000058085	0.3762841	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	1,483326e-44	0,3762841	1126,45956	 1,885315e-99	0,3752569	 54,0881608	7,068946e-05	0,3754353	 54,0874379	 3	 3	 6
ENSG00000065320	0.3612637	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	4,298267e-17	0,3612637	 239,89595	 1,152383e-41	0,3604538	 11,5115118	1,555282e-03	0,3613302	 11,5107909	 3	 3	 6
ENSG00000069122	0.4074191	ADGRF5	adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]	7,469390e-07	0,4074191	  67,96248	 1,110114e-14	0,4063957	  3,2627752	1,044644e-02	0,4090609	  3,2620546	 3	 3	 6
ENSG00000069482	0.1912042	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	7,002519e-20	0,1912042	 122,36203	 8,076592e-43	0,1907299	  5,8674710	4,738625e-04	0,1934514	  5,8667503	 3	 3	 6
ENSG00000080573	0.4170774	COL5A3	collagen type V alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:14864]	4,803488e-07	0,4170774	  91,55501	 7,548344e-18	0,4160350	  4,3972950	1,633637e-02	0,4179526	  4,3965744	 3	 3	 6
ENSG00000083782	0.4177116	EPYC	epiphycan [Source:HGNC Symbol;Acc:HGNC:3053]				 1,238553e-06	0,4177116	  1,2761603				2	1	3
ENSG00000086696	2.4392734	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]	1,683579e-07	2,4392734	  62,14045	 8,436314e-14	2,4315712	  2,9650157	1,122568e-03	2,4158066	  2,9657359	 3	 3	 6
ENSG00000090339	0.4205145	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	1,517610e-07	0,4205145	 641,04795	 5,741175e-65	0,4195340	 30,7704517	2,907079e-03	0,4198056	 30,7697299	 3	 3	 6
ENSG00000100558	0.4176018	PLEK2	pleckstrin 2 [Source:HGNC Symbol;Acc:HGNC:19238]	1,321331e-02	0,4176018	  13,40635	 1,904584e-04	0,4167193	  0,6435773	1,354018e-02	0,4295581	  0,6428569	 2	 0	 2
ENSG00000100604	0.1917621	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	2,518713e-04	0,1917621	  22,37123	 2,519313e-11	0,1905930	  1,0772715				 2	 0	 2
ENSG00000100628	0.4802001	ASB2	ankyrin repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:16012]	3,801584e-04	0,4802001	  31,99989	 4,181567e-07	0,4790052	  1,5376305	5,761407e-04	0,4833752	  1,5369101	 3	 3	 6
ENSG00000100985	0.1589902	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	9,750448e-23	0,1589902	 537,70270	4,684486e-147	0,1585994	 25,7847920	2,972503e-04	0,1592696	 25,7840704	 3	 3	 6
ENSG00000101017	0.3436368	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	4,297249e-13	0,3436368	 108,08485	 5,414018e-25	0,3426209	  5,1895209	4,561559e-04	0,3446689	  5,1888003	 3	 3	 6
ENSG00000101276	0.4950065	SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	1,306951e-02	0,4950065	  17,48210	 1,347133e-04	0,4935619	  0,8401025				 3	 1	 4
ENSG00000101892	0.3664444	ATP1B4	ATPase Na+/K+ transporting family member beta 4 [Source:HGNC Symbol;Acc:HGNC:808]	1,376430e-04	0,3664444	  26,69756	 2,531098e-08	0,3655568	  1,2811675	5,177966e-04	0,3732294	  1,2804470	 3	 0	 3
ENSG00000104879	0.4360498	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	1,032366e-09	0,4360498	 159,07767	 3,745488e-25	0,4349929	  7,6393582	8,175463e-03	0,4360293	  7,6386374	 3	 3	 6
ENSG00000105246	0.2237669	EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	1,621866e-05	0,2237669	  23,51897	 1,485659e-10	0,2230859	  1,1280825	1,766153e-04	0,2359843	  1,1273621	 3	 0	 3
ENSG00000105974	0.4872966	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	2,951660e-13	0,4872966	 158,13846	 2,832978e-21	0,4859634	  7,6003375	4,641147e-05	0,4868302	  7,5996168	 3	 3	 6
ENSG00000106341	2.6850491	PPP1R17	protein phosphatase 1 regulatory subunit 17 [Source:HGNC Symbol;Acc:HGNC:16973]	3,799515e-03	2,6850491	  23,82461	 1,734271e-07	2,6743733	  1,1349055				 1	 2	 3
