ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0030198	extracellular matrix organization	114/2067	377/19786	1.053762e-26	3.203717e-23	2.535967e-23	ITGA2B/DCN/CD44/TIMP2/TLL1/VCAN/TNC/GPM6B/COL9A2/ELN/LAMC2/COL11A1/FBLN1/FAP/COL4A4/COL16A1/ADAMTS2/MMP2/ICAM1/ITGA6/COL9A3/TGFB2/TLL2/MMP11/CRISPLD2/ICAM4/ICAM5/SERPINE1/SH3PXD2A/ICAM2/COL1A1/VTN/VWF/SMOC2/FN1/TTR/CCN2/SPP1/FMOD/SOX9/TCF15/KDR/LOXL1/COL5A1/LAMA5/RAMP2/MATN3/ITGB4/MYH11/LOXL2/PDGFRA/AGT/LCP1/CTSV/MMP7/ITGA11/EMILIN1/ADAMTS14/FBN2/COL2A1/LUM/FBLN5/COL6A2/ADAMTSL4/ITGA9/COL8A1/SFRP2/ABI3BP/WNT3A/JAM2/ADAMTS5/MMP16/MYO1E/CREB3L1/ACAN/ADAMTS4/ITGB2/MATN1/VCAM1/DDR2/COL6A3/PTX3/ITGA2/EGFLAM/COL1A2/HTRA1/FBN1/MFAP4/TNXB/COL3A1/NPNT/COL4A3/KLK7/ANTXR1/HAS2/FGA/COL8A2/SH3PXD2B/A2M/BGN/GAS6/FLRT2/OLFML2A/THSD4/COL14A1/SULF2/LAMA2/MMP1/LAMB3/ADAMTSL2/EGFL6/COL5A2/ITGB3/PECAM1	114
BP	GO:0043062	extracellular structure organization	125/2067	437/19786	1.086190e-26	3.203717e-23	2.535967e-23	ITGA2B/DCN/CD44/TIMP2/TLL1/VCAN/TNC/GPM6B/COL9A2/ELN/LAMC2/COL11A1/FBLN1/FAP/COL4A4/COL16A1/APOB/ADAMTS2/MMP2/ICAM1/ITGA6/COL9A3/TGFB2/TLL2/MMP11/BMP7/CRISPLD2/ICAM4/ICAM5/SERPINE1/SH3PXD2A/ICAM2/COL1A1/VTN/APOC3/VWF/SMOC2/HYAL1/FN1/APOA1/TTR/CCN2/SPP1/FMOD/SOX9/TCF15/KDR/LOXL1/APOC1/COL5A1/LAMA5/RAMP2/MATN3/ITGB4/MYH11/LOXL2/PDGFRA/AGT/LCP1/CTSV/MMP7/ITGA11/EMILIN1/ADAMTS14/MTTP/FBN2/COL2A1/LUM/FBLN5/COL6A2/ADAMTSL4/ITGA9/COL8A1/AGTR1/SFRP2/ABI3BP/WNT3A/JAM2/ADAMTS5/MMP16/MYO1E/CREB3L1/ACAN/ADAMTS4/ITGB2/MATN1/VCAM1/DDR2/COL6A3/PTX3/ITGA2/EGFLAM/COL1A2/HTRA1/LIPC/FBN1/MFAP4/SOAT2/TNXB/COL3A1/NPNT/COL4A3/KLK7/ANTXR1/HAS2/FGA/COL8A2/CD34/SH3PXD2B/A2M/BGN/GAS6/FLRT2/OLFML2A/THSD4/COL14A1/SULF2/LAMA2/MMP1/LAMB3/ADAMTSL2/EGFL6/COL5A2/ITGB3/PECAM1	125
BP	GO:0001655	urogenital system development	88/2067	346/19786	1.158941e-15	2.278864e-12	1.803881e-12	HOXA11/TFAP2B/DCN/TNC/FSTL3/TP63/GLI2/RARB/FGFR1/COL4A4/MEF2C/WNT11/ITGA6/TGFB2/BMP7/JAG1/SALL1/CALB1/SFRP1/GLI3/ACTA2/GLI1/TBX18/FGF1/NPHS2/CENPF/PGF/TEK/RDH10/KCNJ8/HOXC11/SOX4/WNT1/SOX9/BMP2/HOXD11/ALDH1A2/FOXJ1/LAMA5/ITGB4/PDGFRA/GDF11/AGT/CEP55/FRAS1/LGR5/AGTR1/KIRREL3/MYO1E/WNT9B/IL6R/WNT4/NFIA/KIF26B/KLF15/BMPER/SOX17/FBN1/DCHS1/GDNF/NPNT/COL4A3/AR/PCSK9/IRX1/IRX2/HAS2/OVOL1/RARG/CD34/GPR4/IRX3/GATA2/AGTR2/AMER1/PBX1/PTCH1/FAT4/MME/SULF2/KANK2/DLL1/POU3F3/CRIP1/FMN1/FOXD1/PECAM1/LHX1	 88
BP	GO:0072001	renal system development	81/2067	312/19786	4.645686e-15	6.851226e-12	5.423228e-12	HOXA11/TFAP2B/DCN/FSTL3/GLI2/RARB/FGFR1/COL4A4/MEF2C/WNT11/ITGA6/TGFB2/BMP7/JAG1/SALL1/CALB1/SFRP1/GLI3/ACTA2/TBX18/FGF1/NPHS2/CENPF/PGF/TEK/RDH10/KCNJ8/HOXC11/SOX4/WNT1/SOX9/BMP2/HOXD11/ALDH1A2/FOXJ1/LAMA5/ITGB4/PDGFRA/GDF11/AGT/CEP55/FRAS1/LGR5/AGTR1/KIRREL3/MYO1E/WNT9B/IL6R/WNT4/NFIA/KIF26B/KLF15/BMPER/SOX17/FBN1/DCHS1/GDNF/NPNT/COL4A3/PCSK9/IRX1/IRX2/HAS2/OVOL1/CD34/GPR4/IRX3/AGTR2/AMER1/PBX1/PTCH1/FAT4/MME/SULF2/KANK2/DLL1/POU3F3/FMN1/FOXD1/PECAM1/LHX1	 81
BP	GO:1903522	regulation of blood circulation	78/2067	306/19786	4.327443e-14	4.832489e-11	3.825255e-11	CACNA1G/EHD3/ATP1A2/CASR/ABCC9/SREBF1/CACNG5/CACNG4/EDN1/KCNN2/ICAM1/TGFB2/AVP/CACNA1F/KCND1/CACNG7/CAV1/ASIC2/BVES/PDE4D/HRH2/RGS2/SLC8A2/TNNT2/CCN2/KCNJ5/PTGER2/TNNI3/KCNA5/ACE2/HRC/SPX/DSC2/AGT/KCNK1/FXYD6/HCN4/PDE5A/AGTR1/CORIN/EGFR/DOCK5/ADM/DRD2/ADRA2A/CACNA1C/GJA1/CACNA1D/RNF207/STC1/SPTBN4/S100A1/ADORA1/OR51E2/KCNJ4/NPR1/ADRA1B/KCNK3/KCND3/APLN/FGA/HSPB7/DES/KCNE3/KCNE5/IRX5/SCN4B/AGTR2/CHRM2/CACNB4/SLC8A1/CTNNA3/SCN5A/ADRA2C/ATP2A1/MYL4/BMPR2/APELA	 78
BP	GO:0072006	nephron development	50/2067	152/19786	4.915229e-14	4.832489e-11	3.825255e-11	HOXA11/TFAP2B/COL4A4/MEF2C/WNT11/BMP7/JAG1/SALL1/CALB1/GLI3/ACTA2/FGF1/NPHS2/PGF/TEK/WNT1/SOX9/BMP2/HOXD11/FOXJ1/LAMA5/PDGFRA/AGT/KIRREL3/MYO1E/WNT9B/IL6R/WNT4/KIF26B/KLF15/DCHS1/GDNF/NPNT/COL4A3/IRX1/IRX2/CD34/GPR4/IRX3/AGTR2/PBX1/PTCH1/FAT4/SULF2/DLL1/POU3F3/FMN1/FOXD1/PECAM1/LHX1	 50
BP	GO:0006936	muscle contraction	83/2067	351/19786	5.697682e-13	4.801518e-10	3.800739e-10	HSPB6/CACNA1G/EHD3/ATP1A2/UTS2/CALCRL/PPP1R12B/EDN1/KCNN2/MYBPC2/SORBS1/MYLK2/TNNC2/CAV1/ACTA2/SGCA/P2RX3/PDE4D/RGS2/TNNT2/CCN2/KCNJ5/KCNJ8/CXCR4/CALD1/SSPN/TNNI3/KCNA5/CNN1/ACE2/HRC/TNNT3/ATP8A2/MYBPH/MYH11/SPX/DSC2/DYSF/AGT/CHRND/HTR2B/MYOF/HCN4/PDE5A/STAC/DOCK5/DRD2/ADRA2A/CACNA1C/EDNRA/KCNE4/GJA1/CACNA1D/RNF207/STC1/TNNI1/ACTC1/CHRNB2/ACTG2/LMOD1/ADORA1/GUCY1A1/ITGA2/GPER1/GDNF/NPNT/ADRA1B/SGCD/KCND3/DES/KCNE3/KCNE5/SCN4B/OXTR/SYNM/SLC8A1/CTNNA3/SCN5A/ADRA2C/ATP2A1/SULF2/MYL4/TPM2	 83
BP	GO:0001822	kidney development	74/2067	297/19786	6.668169e-13	4.916941e-10	3.892105e-10	HOXA11/TFAP2B/DCN/FSTL3/GLI2/RARB/FGFR1/COL4A4/MEF2C/WNT11/TGFB2/BMP7/JAG1/SALL1/CALB1/SFRP1/GLI3/ACTA2/FGF1/NPHS2/CENPF/PGF/TEK/RDH10/KCNJ8/HOXC11/SOX4/WNT1/SOX9/BMP2/HOXD11/ALDH1A2/FOXJ1/LAMA5/PDGFRA/GDF11/AGT/FRAS1/AGTR1/KIRREL3/MYO1E/WNT9B/IL6R/WNT4/KIF26B/KLF15/BMPER/FBN1/DCHS1/GDNF/NPNT/COL4A3/PCSK9/IRX1/IRX2/HAS2/OVOL1/CD34/GPR4/IRX3/AGTR2/AMER1/PBX1/PTCH1/FAT4/MME/SULF2/KANK2/DLL1/POU3F3/FMN1/FOXD1/PECAM1/LHX1	 74
BP	GO:0072073	kidney epithelium development	47/2067	149/19786	1.573610e-12	1.031414e-09	8.164366e-10	HOXA11/TFAP2B/RARB/FGFR1/MEF2C/WNT11/BMP7/JAG1/SALL1/CALB1/SFRP1/GLI3/FGF1/NPHS2/PGF/WNT1/SOX9/BMP2/HOXD11/FOXJ1/LAMA5/GDF11/AGT/MYO1E/WNT9B/WNT4/KIF26B/KLF15/BMPER/DCHS1/GDNF/NPNT/IRX1/IRX2/CD34/IRX3/AGTR2/PBX1/PTCH1/FAT4/KANK2/DLL1/POU3F3/FMN1/FOXD1/PECAM1/LHX1	 47
BP	GO:0060047	heart contraction	70/2067	283/19786	4.040405e-12	2.383435e-09	1.886657e-09	CACNA1G/EHD3/ATP1A2/ABCC9/SREBF1/CACNG5/CACNG4/EDN1/KCNN2/TGFB2/MYLK2/CACNA1F/KCND1/CACNG7/CAV1/BVES/PDE4D/RGS2/SLC8A2/TNNT2/CCN2/KCNJ5/KCNJ8/CXCR4/TNNI3/KCNA5/ACE2/HRC/SPX/DSC2/AGT/KCNK1/FXYD6/HCN4/PDE5A/CORIN/ADM/DRD2/CACNA1C/KCNE4/GJA1/CACNA1D/RNF207/STC1/ACTC1/SPTBN4/S100A1/ADORA1/KCNJ4/NPR1/ADRA1B/SGCD/KCNK3/KCND3/APLN/HSPB7/DES/KCNE3/KCNE5/IRX5/SCN4B/AGTR2/CHRM2/CACNB4/SLC8A1/CTNNA3/SCN5A/ATP2A1/MYL4/APELA	 70
