ENSID	RatiosMoys_.MT2_SC._vs_.WT.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT2_SC._vs_.WT.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT2_SC._vs_.WT.	Delta_edgeR	pval_Voom	RatiosMoys_.MT2_SC._vs_.WT.	Delta_Voom	Flags_.WT.	Flags_.MT2_SC.	Flags_tot
ENSG00000000003	 1.526737218	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	 1,167197e-18	 1,526737218	  592,951130	 1,426978e-23	 1,530159174	 28,5095997	4,387395e-05	 1,529968189	 28,5114636	 3	 3	 6
ENSG00000001626	 2.256125690	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	 1,254626e-08	 2,256125690	   88,311531	 1,380932e-16	 2,261921250	  4,2342955	1,065148e-03	 2,253920067	  4,2361607	 3	 3	 6
ENSG00000002016	 0.460131873	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	 2,332591e-33	 0,460131873	  513,621868	 5,435076e-50	 0,460985419	 24,4927273	1,310458e-05	 0,461297939	 24,4908608	 3	 3	 6
ENSG00000002549	 1.509437020	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	 3,592290e-11	 1,509437020	  275,767454	 9,905555e-16	 1,512887034	 13,2599589	1,516616e-04	 1,512505258	 13,2618236	 3	 3	 6
ENSG00000002746	 0.515125854	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	 2,631976e-10	 0,515125854	  150,905328	 3,457963e-18	 0,516546415	  7,1876151	9,928520e-04	 0,517415165	  7,1857494	 3	 3	 6
ENSG00000003137	 0.583573131	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	 8,924666e-12	 0,583573131	  190,110297	 5,265562e-17	 0,584704102	  9,0541563	5,120636e-05	 0,585225306	  9,0522904	 3	 3	 6
ENSG00000003147	 1.694058934	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	 3,604552e-06	 1,694058934	   85,813858	 3,932214e-10	 1,696591951	  4,1141368	1,112678e-03	 1,694216255	  4,1160021	 3	 3	 6
ENSG00000003756	 0.616010025	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	 1,118484e-32	 0,616010025	 2505,724639	 8,541079e-40	 0,617160766	119,3247806	2,029598e-05	 0,617194873	119,3229104	 3	 3	 6
ENSG00000003987	 0.539008467	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	 5,075640e-06	 0,539008467	   74,909211	 1,263622e-10	 0,540587724	  3,5669683	3,016112e-03	 0,542178215	  3,5651027	 3	 3	 6
ENSG00000004660	 0.585104802	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	 7,052368e-15	 0,585104802	  291,526096	 5,441146e-22	 0,586214360	 13,8864861	1,056414e-04	 0,586552050	 13,8846200	 3	 3	 6
ENSG00000004776	 2.515898594	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 2,663419e-29	 2,515898594	  534,572719	 2,192655e-64	 2,521673815	 25,6223138	1,699015e-04	 2,519717913	 25,6241779	 3	 3	 6
ENSG00000004777	 0.459467369	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	 1,316300e-09	 0,459467369	 1810,527137	 1,691697e-85	 0,460021387	 86,4023912	6,543193e-04	 0,460110305	 86,4005221	 3	 3	 6
ENSG00000004799	 1.748472071	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	 3,650900e-07	 1,748472071	   90,174849	 2,751865e-11	 1,753188390	  4,3327123	1,163615e-04	 1,750525116	  4,3345775	 3	 3	 6
ENSG00000004864	 1.753915019	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	 4,912686e-17	 1,753915019	  329,894287	 1,501040e-25	 1,758439852	 15,8456423	6,925453e-05	 1,757698682	 15,8475069	 3	 3	 6
ENSG00000005001	 0.473328606	PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	 1,560038e-07	 0,473328606	   66,875323	 1,413324e-12	 0,474338880	  3,1875531	2,336539e-06	 0,476622892	  3,1856875	 3	 3	 6
ENSG00000005073	 0.129579085	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	 7,625010e-28	 0,129579085	  132,913972	 1,266544e-57	 0,129884054	  6,3468736	2,380219e-05	 0,132861950	  6,3450079	 3	 1	 4
ENSG00000005108	 1.620268633	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	 1,707192e-29	 1,620268633	 1934,145232	 1,230219e-38	 1,623281800	 92,8309621	2,832446e-05	 1,623198506	 92,8328223	 3	 3	 6
ENSG00000005249	 1.585575524	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	 4,089978e-16	 1,585575524	  362,113549	 4,811953e-21	 1,588879283	 17,3910444	4,017139e-06	 1,588486151	 17,3929089	 3	 3	 6
ENSG00000005471	 1.986485558	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	 1,894904e-08	 1,986485558	   87,582275	 8,588582e-14	 1,991228411	  4,2034656	7,600220e-05	 1,986342306	  4,2053309	 3	 3	 6
ENSG00000005513	 0.629245922	SOX8	SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]	 9,273427e-17	 0,629245922	  512,539441	 1,313578e-24	 0,630653234	 24,3869667	1,715388e-04	 0,630809521	 24,3851002	 3	 3	 6
ENSG00000005884	 2.215998496	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	 1,439039e-59	 2,215998496	 3796,473611	8,019130e-103	 2,220979155	182,0081871	1,358652e-05	 2,220804130	182,0100429	 3	 3	 6
ENSG00000005961	 0.420494186	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	 7,785425e-20	 0,420494186	  306,526067	 5,666382e-41	 0,421384182	 14,6137058	5,308007e-04	 0,421982098	 14,6118397	 3	 3	 6
ENSG00000005981	 0.183169273	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	 2,985114e-05	 0,183169273	   21,121865	 1,029597e-10	 0,183776317	  1,0081161	1,638398e-03	 0,200116397	  1,0062506	 2	 0	 2
ENSG00000006007	 1.560088356	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]	 1,177124e-19	 1,560088356	  491,224790	 2,598876e-23	 1,563343174	 23,6003543	8,007411e-07	 1,563079924	 23,6022185	 3	 3	 6
ENSG00000006016	 0.665042995	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	 5,954616e-03	 0,665042995	   35,408919	 1,267820e-04	 0,666399518	  1,6845211				 3	 3	 6
ENSG00000006071	 0.028898446	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	 1,835912e-17	 0,028898446	   95,094212	 4,648060e-65	 0,028888513	  4,5407330	6,180716e-03	 0,034018105	  4,5388674	 3	 0	 3
