ENSID	RatiosMoys_.d32._vs_.d22.	Symbol	Description	pval_DEseq2	RatiosMoys_.d32._vs_.d22.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d32._vs_.d22.	Delta_edgeR	pval_Voom	RatiosMoys_.d32._vs_.d22.	Delta_Voom	Flags_.d22.	Flags_.d32.	Flags_tot
ENSG00000000005	  4.77726997	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	 6,652308e-06	  4,77726997	   24,94635	 6,310654e-12	  4,87612648	   1,1149726	2,536967e-04	  4,60377611	   1,1152289	 0	 3	 3
ENSG00000000971	  0.50657948	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	 6,826542e-28	  0,50657948	  685,61894	 4,493361e-45	  0,51769821	  29,2018116	1,832939e-04	  0,51787611	  29,2015539	 3	 3	 6
ENSG00000001617	  0.63768396	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	 1,423861e-19	  0,63768396	 1163,01311	 4,680369e-29	  0,65161956	  48,7156489	2,388162e-04	  0,65167572	  48,7153904	 3	 3	 6
ENSG00000002587	  1.55438060	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]				 7,161387e-03	  1,55438060	   0,5986404	1,338129e-02	  1,54363792	   0,5988968	 2	 3	 5
ENSG00000003096	  1.62038643	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	 2,001289e-22	  1,62038643	  715,44635	 2,355859e-32	  1,65543084	  32,9310278	6,718493e-06	  1,65515155	  32,9312827	 3	 3	 6
ENSG00000003400	  2.08557043	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	 5,804864e-04	  2,08557043	   30,23197	 1,835727e-07	  2,12953684	   1,3702758	1,887619e-03	  2,10979598	   1,3705321	 3	 3	 6
ENSG00000003989	  0.55665262	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	 1,506133e-14	  0,55665262	  275,05841	 2,867145e-22	  0,56866512	  11,6607819	4,976522e-04	  0,56902230	  11,6605250	 3	 3	 6
ENSG00000004660	  1.69196973	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	 7,064406e-10	  1,69196973	  199,38117	 1,296762e-18	  1,73120187	   9,1774449	1,549105e-03	  1,72995387	   9,1777008	 3	 3	 6
ENSG00000004776	  2.87939258	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 8,563234e-24	  2,87939258	  193,34876	 8,839090e-40	  2,94201187	   8,7034991	3,996470e-06	  2,93266385	   8,7037551	 3	 3	 6
ENSG00000004799	  0.63365818	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	 1,777837e-11	  0,63365818	  220,78792	 4,180854e-14	  0,64788748	   9,2458122	2,964013e-05	  0,64818946	   9,2455554	 3	 3	 6
