ENSID	RatiosMoys_.MT1_SC._vs_.WT.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT1_SC._vs_.WT.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT1_SC._vs_.WT.	Delta_edgeR	pval_Voom	RatiosMoys_.MT1_SC._vs_.WT.	Delta_Voom	Flags_.WT.	Flags_.MT1_SC.	Flags_tot
ENSG00000001626	 1.528825451	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	 8,137264e-03	 1,528825451	   37,239382	 6,490962e-05	 1,528552801	  1,7929408	4,309232e-02	 1,52549624	  1,7947280	 3	 3	 6
ENSG00000004660	 0.651855831	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	 9,449555e-12	 0,651855831	  245,073954	 2,181662e-15	 0,651785228	 11,8069187	2,791976e-05	 0,65207530	 11,8051309	 3	 3	 6
ENSG00000004776	 2.323462596	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 1,920350e-23	 2,323462596	  467,528474	 1,300942e-53	 2,323102643	 22,5171634	5,246585e-04	 2,32141157	 22,5189496	 3	 3	 6
ENSG00000004848	 2.793372223	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	 1,247923e-07	 2,793372223	   72,148281	 8,469023e-19	 2,792553568	  3,4751346	9,929330e-03	 2,77232824	  3,4769217	 3	 3	 6
ENSG00000005073	 0.652106861	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	 4,501012e-04	 0,652106861	   53,223919	 6,328617e-06	 0,652044390	  2,5639177	2,950466e-04	 0,65337510	  2,5621303	 3	 3	 6
ENSG00000005102	 1.612211152	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	 6,224849e-05	 1,612211152	   70,500955	 6,811589e-08	 1,612584913	  3,3968520	3,156637e-03	 1,61036107	  3,3986391	 3	 3	 6
ENSG00000005981	 2.156731138	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	 5,300989e-04	 2,156731138	   29,967587	 8,290399e-08	 2,158582014	  1,4451397	5,849323e-03	 2,13889415	  1,4469269	 2	 3	 5
ENSG00000006377	 1.821946930	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]	 2,348446e-03	 1,821946930	   28,128664	 8,926195e-06	 1,820186958	  1,3521007	1,851481e-03	 1,80990670	  1,3538879	 3	 3	 6
ENSG00000006534	 0.641721985	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	 2,360814e-03	 0,641721985	   40,345562	 2,215545e-05	 0,641848645	  1,9425638	6,582709e-03	 0,64369774	  1,9407764	 3	 3	 6
ENSG00000006555	 0.615920701	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]	 1,585035e-02	 0,615920701	   22,404033	 2,613816e-04	 0,615768097	  1,0793276	1,427353e-02	 0,61953737	  1,0775403	 3	 3	 6
ENSG00000006788	 1.770916709	MYH13	myosin heavy chain 13 [Source:HGNC Symbol;Acc:HGNC:7571]				 7,530013e-03	 1,770916709	  0,4721350	4,064259e-02	 1,74567087	  0,4739223	 1	 3	 4
ENSG00000007001	 0.657401230	UPP2	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]				 1,078769e-02	 0,657401230	  0,5926627	1,040188e-02	 0,66294147	  0,5908754	 3	 3	 6
ENSG00000007216	 0.357450707	SLC13A2	solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]	 1,619616e-08	 0,357450707	   63,275693	 9,178737e-17	 0,357670383	  3,0463552	8,811162e-04	 0,36116309	  3,0445678	 3	 3	 6
