ENSID	RatiosMoys_.d42._vs_.d22.	Symbol	Description	pval_DEseq2	RatiosMoys_.d42._vs_.d22.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d42._vs_.d22.	Delta_edgeR	pval_Voom	RatiosMoys_.d42._vs_.d22.	Delta_Voom	Flags_.d22.	Flags_.d42.	Flags_tot
ENSG00000000003	7.462844e-01	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	 2,668633e-14	7,462844e-01	5,658302e+02	 4,599649e-17	7,551328e-01	  25,8739882	2,910761e-06	7,552228e-01	  25,8697914	 3	 3	 6
ENSG00000001036	6.658156e-01	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	 5,005204e-19	6,658156e-01	5,037016e+02	 6,973703e-26	6,734936e-01	  23,3245025	5,267040e-05	6,736516e-01	  23,3203055	 3	 3	 6
ENSG00000001561	4.921853e-01	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	 1,655301e-16	4,921853e-01	1,913802e+02	 7,245114e-26	4,980874e-01	   8,9600757	1,240441e-05	4,989323e-01	   8,9558790	 3	 3	 6
ENSG00000001617	4.775340e-01	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	 7,733669e-58	4,775340e-01	1,537114e+03	6,716490e-106	4,828880e-01	  72,1494770	1,199323e-04	4,829986e-01	  72,1452780	 3	 3	 6
ENSG00000001626	1.477615e+00	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	 3,616584e-03	1,477615e+00	4,238821e+01	 2,128793e-05	1,496613e+00	   2,0859408	5,847688e-03	1,495051e+00	   2,0901371	 3	 3	 6
ENSG00000001629	1.249529e+00	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	 3,961691e-06	1,249529e+00	2,605443e+02	 7,317542e-10	1,264548e+00	  13,0855984	8,686872e-04	1,264516e+00	  13,0897937	 3	 3	 6
ENSG00000001630	7.287969e-01	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	 7,276376e-13	7,287969e-01	5,631799e+02	 3,619509e-19	7,375587e-01	  25,8196569	6,802655e-04	7,376592e-01	  25,8154600	 3	 3	 6
ENSG00000002586	1.845168e+00	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	 5,315317e-87	1,845168e+00	2,446631e+03	 3,952662e-98	1,866639e+00	 118,9031739	2,587852e-07	1,866533e+00	 118,9073630	 3	 3	 6
ENSG00000002587	4.179073e+00	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	 1,646278e-13	4,179073e+00	7,223991e+01	 1,030558e-26	4,220264e+00	   3,4750329	5,383183e-05	4,160516e+00	   3,4792291	 2	 3	 5
ENSG00000002726	3.692816e-01	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	 2,362095e-28	3,692816e-01	4,339127e+02	 8,308948e-72	3,729760e-01	  20,4776399	1,154488e-03	3,735213e-01	  20,4734427	 3	 3	 6
ENSG00000002746	6.288886e-01	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	 6,593231e-06	6,288886e-01	1,039799e+02	 2,649649e-10	6,365794e-01	   4,8215972	6,728566e-03	6,374893e-01	   4,8174007	 3	 3	 6
ENSG00000002834	1.385324e+00	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	 4,481389e-24	1,385324e+00	1,971581e+03	 1,703095e-33	1,401482e+00	  97,3472082	5,091734e-05	1,401464e+00	  97,3513975	 3	 3	 6
