ENSID	RatiosMoys_.MT1_SC._vs_.WT.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT1_SC._vs_.WT.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT1_SC._vs_.WT.	Delta_edgeR	pval_Voom	RatiosMoys_.MT1_SC._vs_.WT.	Delta_Voom	Flags_.WT.	Flags_.MT1_SC.	Flags_tot
ENSG00000000460	 1.218534432	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	 3,540386e-02	 1,218534432	   43,934200	 9,798394e-03	 1,218614334	  2,1167705	1,189191e-02	 1,21827746	  2,1185577	 3	 3	 6
ENSG00000001626	 1.528825451	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	 8,137264e-03	 1,528825451	   37,239382	 6,490962e-05	 1,528552801	  1,7929408	4,309232e-02	 1,52549624	  1,7947280	 3	 3	 6
ENSG00000002016	 0.709048400	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	 4,054878e-06	 0,709048400	  277,316500	 5,888940e-13	 0,708782460	 13,3700682	1,340578e-02	 0,70896802	 13,3682804	 3	 3	 6
ENSG00000003756	 0.792386574	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	 3,849699e-06	 0,792386574	 1357,293444	 2,377476e-11	 0,792068447	 65,4787767	1,192138e-02	 0,79208939	 65,4769873	 3	 3	 6
ENSG00000003987	 0.832265745	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]				 3,998306e-02	 0,832265745	  1,3153516	4,182774e-02	 0,83298632	  1,3135643	 3	 3	 6
ENSG00000003989	 1.260610428	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	 2,376387e-03	 1,260610428	   84,128030	 2,988983e-04	 1,260154950	  4,0448939	1,669769e-03	 1,25988326	  4,0466809	 3	 3	 6
ENSG00000004399	 0.829406714	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	 5,578461e-06	 0,829406714	  751,205943	 2,431954e-07	 0,829412169	 36,1815496	3,930907e-03	 0,82943919	 36,1797613	 3	 3	 6
ENSG00000004534	 0.825824486	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	 3,793376e-04	 0,825824486	 1193,500112	 3,169881e-08	 0,825439658	 57,6179521	4,080211e-02	 0,82545730	 57,6161631	 3	 3	 6
ENSG00000004660	 0.651855831	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	 9,449555e-12	 0,651855831	  245,073954	 2,181662e-15	 0,651785228	 11,8069187	2,791976e-05	 0,65207530	 11,8051309	 3	 3	 6
ENSG00000004776	 2.323462596	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 1,920350e-23	 2,323462596	  467,528474	 1,300942e-53	 2,323102643	 22,5171634	5,246585e-04	 2,32141157	 22,5189496	 3	 3	 6
ENSG00000004848	 2.793372223	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	 1,247923e-07	 2,793372223	   72,148281	 8,469023e-19	 2,792553568	  3,4751346	9,929330e-03	 2,77232824	  3,4769217	 3	 3	 6
