ENSID	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_edgeR	pval_Voom	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_Voom	Flags_.MT1_PMO.	Flags_.MT1_SC.	Flags_tot
ENSG00000002746	0.8319959	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	3,203545e-02	0,8319959	  54,484300	5,433175e-03	0,8303221	  2,5832372	2,390131e-02	0,8307315	  2,5807771	 3	 3	 6
ENSG00000004838	1.2354937	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]				1,952296e-02	1,2354937	  1,3133217	2,880510e-03	1,2349954	  1,3157816	 3	 3	 6
ENSG00000004848	0.6619180	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]				1,315208e-06	0,6619180	  2,7457298				 3	 3	 6
ENSG00000006071	0.7386041	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	4,976145e-02	0,7386041	  26,163361	2,663635e-03	0,7366123	  1,2378978				 3	 3	 6
ENSG00000006611	1.2646347	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	5,131779e-05	1,2646347	 221,043036	2,179561e-07	1,2621049	 10,2774917	4,122341e-03	1,2620186	 10,2799511	 3	 3	 6
ENSG00000006788	0.6952191	MYH13	myosin heavy chain 13 [Source:HGNC Symbol;Acc:HGNC:7571]				3,459290e-02	0,6952191	  0,4723321	1,174395e-02	0,7011061	  0,4698720	 3	 3	 6
ENSG00000008196	0.7544463	TFAP2B	transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]				2,833562e-09	0,7544463	  9,6747185				 3	 3	 6
ENSG00000010932	1.3954401	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	2,190469e-07	1,3954401	 328,573921	1,026744e-13	1,3929127	 15,3262908	4,540371e-03	1,3927513	 15,3287498	 3	 3	 6
ENSG00000011083	0.7825996	SLC6A7	solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054]				4,285196e-02	0,7825996	  0,7963637	4,822787e-02	0,7845821	  0,7939037	 3	 3	 6
ENSG00000015413	1.2905460	DPEP1	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	1,511206e-02	1,2905460	  73,212657	2,382128e-04	1,2880059	  3,4071890				 3	 3	 6
