ENSID	RatiosMoys_.d42._vs_.d32.	Symbol	Description	pval_DEseq2	RatiosMoys_.d42._vs_.d32.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d42._vs_.d32.	Delta_edgeR	pval_Voom	RatiosMoys_.d42._vs_.d32.	Delta_Voom	Flags_.d32.	Flags_.d42.	Flags_tot
ENSG00000000971	 2.100434794	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	 1,043166e-43	 2,100434794	  718,388465	 5,310686e-67	 2,099712241	  34,0691223	5,944871e-06	 2,099062280	  34,0729559	 3	 3	 6
ENSG00000002587	 2.714455240	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	 4,483134e-09	 2,714455240	   59,972041	 1,989292e-16	 2,715576591	   2,8462046	5,755612e-06	 2,695597552	   2,8500400	 3	 3	 6
ENSG00000002726	 0.457220401	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	 3,210716e-23	 0,457220401	  301,550982	 1,929167e-41	 0,456879289	  14,3246021	1,007855e-04	 0,457473350	  14,3207660	 3	 3	 6
ENSG00000003147	 2.164494480	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	 6,161710e-10	 2,164494480	   93,585602	 9,273584e-18	 2,162500810	   4,4368990	1,718870e-04	 2,156894708	   4,4407343	 3	 3	 6
ENSG00000004776	 2.773281064	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 1,316409e-47	 2,773281064	  487,126281	 6,185845e-79	 2,773153219	  23,1092788	7,161850e-06	 2,770484621	  23,1131131	 3	 3	 6
ENSG00000005059	 0.439589610	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	 6,609132e-23	 0,439589610	  258,669379	 2,283680e-39	 0,439440322	  12,2765354	2,729761e-05	 0,440172975	  12,2726994	 3	 3	 6
ENSG00000005102	 3.192904244	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	 1,375150e-11	 3,192904244	   74,741660	 1,382737e-22	 3,195559389	   3,5487437	2,494368e-04	 3,168668934	   3,5525791	 3	 3	 6
ENSG00000005108	 0.346536975	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	3,072060e-210	 0,346536975	 6747,452448	5,291291e-233	 0,346464643	 320,1973503	1,659105e-08	 0,346501560	 320,1935021	 3	 3	 6
ENSG00000005249	 2.278298166	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	 2,352572e-52	 2,278298166	  709,313927	 1,454165e-76	 2,278223246	  33,6504952	6,964842e-07	 2,277310710	  33,6543288	 3	 3	 6
ENSG00000006327	 2.304706701	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	 1,043223e-25	 2,304706701	  491,746211	 9,277874e-62	 2,304346747	  23,3148680	5,105209e-04	 2,302971457	  23,3187022	 3	 3	 6
ENSG00000006638	 0.454495303	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]	 1,388363e-15	 0,454495303	  158,189571	 1,165789e-26	 0,454230684	   7,5101098	1,360941e-05	 0,455372639	   7,5062740	 3	 3	 6
