ENSID	RatiosMoys_.d42._vs_.d22.	Symbol	Description	pval_DEseq2	RatiosMoys_.d42._vs_.d22.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d42._vs_.d22.	Delta_edgeR	pval_Voom	RatiosMoys_.d42._vs_.d22.	Delta_Voom	Flags_.d22.	Flags_.d42.	Flags_tot
ENSG00000001561	4.921853e-01	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	 1,655301e-16	4,921853e-01	1,913802e+02	 7,245114e-26	4,980874e-01	   8,9600757	1,240441e-05	4,989323e-01	   8,9558790	 3	 3	 6
ENSG00000001617	4.775340e-01	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	 7,733669e-58	4,775340e-01	1,537114e+03	6,716490e-106	4,828880e-01	  72,1494770	1,199323e-04	4,829986e-01	  72,1452780	 3	 3	 6
ENSG00000002587	4.179073e+00	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	 1,646278e-13	4,179073e+00	7,223991e+01	 1,030558e-26	4,220264e+00	   3,4750329	5,383183e-05	4,160516e+00	   3,4792291	 2	 3	 5
ENSG00000002726	3.692816e-01	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	 2,362095e-28	3,692816e-01	4,339127e+02	 8,308948e-72	3,729760e-01	  20,4776399	1,154488e-03	3,735213e-01	  20,4734427	 3	 3	 6
ENSG00000002933	4.998371e-01	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	 5,700932e-49	4,998371e-01	9,263870e+02							 3	 3	 6
ENSG00000003096	2.314029e+00	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	 4,853375e-95	2,314029e+00	1,388838e+03	4,096151e-132	2,341567e+00	  67,1973121	6,582796e-07	2,341069e+00	  67,2015046	 3	 3	 6
ENSG00000003400	2.593884e+00	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	 5,158523e-06	2,593884e+00	4,068368e+01	 1,210059e-11	2,619434e+00	   1,9612525	6,146557e-04	2,594295e+00	   1,9654488	 3	 3	 6
ENSG00000004776	8.081154e+00	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	3,900270e-129	8,081154e+00	6,676977e+02	2,232771e-233	8,170660e+00	  32,0630618	1,574586e-06	8,136918e+00	  32,0672565	 3	 3	 6
ENSG00000004799	3.835774e-01	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	 4,955128e-37	3,835774e-01	3,404828e+02	 8,528620e-57	3,881499e-01	  16,0127377	4,320432e-07	3,888177e-01	  16,0085407	 3	 3	 6
ENSG00000005059	3.194431e-01	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	 1,983483e-51	3,194431e-01	4,323601e+02	 2,380490e-83	3,231378e-01	  20,3777142	3,037121e-06	3,237652e-01	  20,3735170	 3	 3	 6
ENSG00000005073	4.109416e+00	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	 1,762322e-45	4,109416e+00	2,807397e+02	 1,324508e-77	4,155145e+00	  13,5109826	3,209891e-06	4,140191e+00	  13,5151782	 3	 3	 6
ENSG00000005102	1.518667e+01	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	 1,083201e-24	1,518667e+01	1,016565e+02	 1,046420e-60	1,528866e+01	   4,8796359	1,918382e-04	1,444549e+01	   4,8838321	 0	 3	 3
ENSG00000005108	4.178308e-01	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	3,154383e-127	4,178308e-01	4,986581e+03	9,360892e-200	4,228200e-01	 234,2352820	9,029064e-06	4,228612e-01	 234,2310768	 3	 3	 6
ENSG00000005249	2.766151e+00	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	 4,445019e-55	2,766151e+00	8,072994e+02	1,212951e-123	2,800573e+00	  38,9792858	3,474238e-05	2,798961e+00	  38,9834800	 3	 3	 6
